"id","t1","t2","diff_t","y1","y2","diff_y","slope","intercept","auc_to_mean","auc_to_min","ind"
1,0,3.58333333333333,3.58333333333333,1,1,0,0,1,-4.09523809523809,0,1
1,3.58333333333333,4.48809523809524,0.904761904761908,1,2.14285714285714,1.14285714285714,1.26315789473684,-3.52631578947366,-0.51700680272109,0,1
1,4.48809523809524,5.16666666666667,0.678571428571431,2.14285714285714,3,0.857142857142857,1.26315789473684,-3.52631578947366,0.290816326530614,0.678571428571431,2
1,5.16666666666667,7.80952380952381,2.64285714285714,3,2.14285714285714,-0.857142857142857,-0.324324324324325,4.67567567567568,1.13265306122449,2.64285714285714,2
1,7.80952380952381,8.25,0.44047619047619,2.14285714285714,2,-0.142857142857143,-0.324324324324325,4.67567567567568,-0.0314625850340134,0.220238095238095,3
1,8.25,11.8,3.55,2,1,-1,-0.28169014084507,4.32394366197183,-2.28214285714286,1.775,3
1,11.8,24.0333333333333,12.2333333333333,1,1,0,0,1,-13.9809523809523,0,3
1,24.0333333333333,24.8333333333333,0.799999999999997,1,2.14285714285714,1.14285714285714,1.42857142857143,-33.3333333333333,-0.457142857142856,0,3
1,24.8333333333333,27.5333333333333,2.7,2.14285714285714,6,3.85714285714286,1.42857142857143,-33.3333333333333,5.20714285714286,6.75,4
1,27.5333333333333,29.25,1.7166666666667,6,4,-2,-1.1650485436893,38.0776699029119,4.904761904762,6.86666666666682,4
1,29.25,32.25,3,4,3,-1,-0.333333333333333,13.75,4.07142857142857,7.5,4
1,32.25,33.7571428571429,1.50714285714287,3,2.14285714285714,-0.857142857142857,-0.568720379146914,21.341232227488,0.645918367346942,1.50714285714287,4
1,33.7571428571429,35.7666666666667,2.00952380952383,2.14285714285714,1,-1.14285714285714,-0.568720379146914,21.341232227488,-1.14829931972791,0,5
1,35.7666666666667,48.1166666666667,12.35,1,2,1,0.0809716599190283,-1.89608636977058,-7.93928571428571,6.175,5
1,48.1166666666667,51.6333333333333,3.51666666666659,2,2,0,0,2,-0.502380952380942,3.51666666666659,5
1,51.6333333333333,51.8571428571428,0.223809523809528,2,2.14285714285714,0.142857142857143,0.63829787234041,-30.9574468085098,-0.0159863945578236,0.111904761904764,5
1,51.8571428571428,53.2,1.34285714285718,2.14285714285714,3,0.857142857142857,0.63829787234041,-30.9574468085098,0.575510204081649,1.34285714285718,6
1,53.2,56.2166666666667,3.01666666666669,3,8,5,1.6574585635359,-85.1767955801097,10.1273809523811,13.5750000000001,6
1,56.2166666666667,59.75,3.5333333333333,8,3,-5,-1.41509433962265,87.5518867924536,11.8619047619046,15.8999999999999,6
1,59.75,65.0214285714286,5.27142857142857,3,2.14285714285714,-0.857142857142857,-0.16260162601626,12.7154471544715,2.25918367346939,5.27142857142857,6
1,65.0214285714286,72.05,7.02857142857142,2.14285714285714,1,-1.14285714285714,-0.16260162601626,12.7154471544715,-4.01632653061225,0,7
1,72.05,75.5,3.45,1,1,0,0,1,-3.94285714285714,0,7
1,75.5,77.2,1.7,1,1,0,0,1,-1.94285714285715,0,7
1,77.2,80.2,3,1,1,0,0,1,-3.42857142857143,0,7
1,80.2,83.75,3.55,1,1,0,0,1,-4.05714285714285,0,7
1,83.75,96.0166666666667,12.2666666666667,1,1,0,0,1,-14.0190476190477,0,7
1,96.0166666666667,99.5666666666667,3.55000000000001,1,1,0,0,1,-4.05714285714286,0,7
1,99.5666666666667,101.233333333333,1.66666666666629,1,1,0,0,1,-1.90476190476147,0,7
1,101.233333333333,102.938095238095,1.70476190476226,1,2.14285714285714,1.14285714285714,0.670391061452364,-66.865921787694,-0.974149659864153,0,7
1,102.938095238095,104.216666666667,1.27857142857174,2.14285714285714,3,0.857142857142857,0.670391061452364,-66.865921787694,0.547959183673605,1.27857142857174,8
1,104.216666666667,107.733333333333,3.516666666666,3,5,2,0.568720379147028,-56.2701421801062,6.53095238095113,10.549999999998,8
1,107.733333333333,120.033333333333,12.3,5,6,1,0.08130081300813,-3.75880758807584,41.2928571428571,55.35,8
1,120.033333333333,123.6,3.56666666666699,6,3,-3,-0.841121495327027,106.96261682242,8.40714285714364,12.4833333333345,8
1,123.6,124.971428571429,1.37142857142859,3,2.14285714285714,-0.857142857142857,-0.624999999999997,80.2499999999996,0.587755102040823,1.37142857142859,8
1,124.971428571429,125.2,0.228571428571414,2.14285714285714,2,-0.142857142857143,-0.624999999999997,80.2499999999996,-0.0163265306122451,0.114285714285707,9
1,125.2,128.233333333333,3.033333333333,2,1,-1,-0.329670329670365,43.2747252747298,-1.94999999999978,1.5166666666665,9
1,128.233333333333,131.8,3.566666666667,1,1,0,0,1,-4.07619047619087,0,9
1,131.8,144.016666666667,12.216666666667,1,1,0,0,1,-13.9619047619051,0,9
1,144.016666666667,147.616666666667,3.59999999999999,1,1,0,0,1,-4.1142857142857,0,9
1,147.616666666667,149.233333333333,1.61666666666602,1,1,0,0,1,-1.84761904761831,0,9
1,149.233333333333,152.183333333333,2.94999999999999,1,1,0,0,1,-3.37142857142857,0,9
1,152.183333333333,155.716666666667,3.53333333333401,1,1,0,0,1,-4.03809523809602,0,9
2,0,3.71666666666667,3.71666666666667,1,1,0,0,1,-4.24761904761905,0,1
2,3.71666666666667,5.23333333333333,1.51666666666666,1,1,0,0,1,-1.73333333333333,0,1
2,5.23333333333333,8.33333333333333,3.1,1,1,0,0,1,-3.54285714285714,0,1
2,8.33333333333333,11.9166666666667,3.58333333333337,1,1,0,0,1,-4.09523809523814,0,1
2,11.9166666666667,24.1,12.1833333333333,1,1,0,0,1,-13.9238095238095,0,1
2,24.1,27.6333333333333,3.5333333333333,1,1,0,0,1,-4.0380952380952,0,1
2,27.6333333333333,29.3833333333333,1.75,1,2,1,0.571428571428571,-14.7904761904762,-1.125,0.875,1
2,29.3833333333333,32.3666666666667,2.9833333333334,2,2,0,0,2,-0.426190476190486,2.9833333333334,1
